County_FIPS,Year,Population
42123,2061,38911
42123,2062,38911
42123,2063,38911
42123,2064,38911
42123,2065,38911
42123,2066,38911
42123,2067,38911
42123,2068,38911
42123,2069,38911
42123,2070,38911
42123,2071,38911
42123,2072,38911
42123,2073,38911
42123,2074,38911
42123,2075,38911
42123,2076,38911
42123,2077,38911
42123,2078,38911
42123,2079,38911
42123,2080,38911
42123,2081,38911
42123,2082,38911
42123,2083,38911
42123,2084,38911
42123,2085,38911
42123,2086,38911
42123,2087,38911
42123,2088,38911
42123,2089,38911
42123,2090,38911
42123,2091,38911
42123,2092,38911
42123,2093,38911
42123,2094,38911
42123,2095,38911
42123,2096,38911
42123,2097,38911
42123,2098,38911
42123,2099,38911
42125,2000,206803
42125,2001,206803
42125,2002,206803
42125,2003,206803
42125,2004,206803
42125,2005,206803
42125,2006,206803
42125,2007,206803
42125,2008,206803
42125,2009,206803
42125,2010,206803
42125,2011,206803
42125,2012,206803
42125,2013,206803
42125,2014,206803
42125,2015,206803
42125,2016,206803
42125,2017,206803
42125,2018,206803
42125,2019,206803
42125,2020,206803
42125,2021,206803
42125,2022,206803
42125,2023,206803
42125,2024,206803
42125,2025,206803
42125,2026,206803
42125,2027,206803
42125,2028,206803
42125,2029,206803
42125,2030,206803
42125,2031,206803
42125,2032,206803
42125,2033,206803
42125,2034,206803
42125,2035,206803
42125,2036,206803
42125,2037,206803
42125,2038,206803
42125,2039,206803
42125,2040,206803
42125,2041,206803
42125,2042,206803
42125,2043,206803
42125,2044,206803
42125,2045,206803
42125,2046,206803
42125,2047,206803
42125,2048,206803
42125,2049,206803
42125,2050,206803
42125,2051,206803
42125,2052,206803
42125,2053,206803
42125,2054,206803
42125,2055,206803
42125,2056,206803
42125,2057,206803
42125,2058,206803
42125,2059,206803
42125,2060,206803
42125,2061,206803
42125,2062,206803
42125,2063,206803
42125,2064,206803
42125,2065,206803
42125,2066,206803
42125,2067,206803
42125,2068,206803
42125,2069,206803
42125,2070,206803
42125,2071,206803
42125,2072,206803
42125,2073,206803
42125,2074,206803
42125,2075,206803
42125,2076,206803
42125,2077,206803
42125,2078,206803
42125,2079,206803
42125,2080,206803
42125,2081,206803
42125,2082,206803
42125,2083,206803
42125,2084,206803
42125,2085,206803
42125,2086,206803
42125,2087,206803
42125,2088,206803
42125,2089,206803
42125,2090,206803
42125,2091,206803
42125,2092,206803
42125,2093,206803
42125,2094,206803
42125,2095,206803
42125,2096,206803
42125,2097,206803
42125,2098,206803
42125,2099,206803
